№,Име на училището:,Район:,Наименование на паралелка:,"Свободни
места без
квоти:","Свободни
места
младежи:","Свободни
места
девойки:"
1,"78. СУ ""Христо Смирненски""",Банкя,Софтуерни и хардуерни науки,1,0,0
2,"78. СУ ""Христо Смирненски""",Банкя,"Извършване на термални процедури в балнеологични и други
възстановителни центрове",3,0,0
3,"ПГ по туризъм ""Алеко
Константинов""",Банкя,Организация на хотелиерството,2,0,0
4,"ПГ по туризъм ""Алеко
Константинов""",Банкя,Кетъринг,6,0,0
5,"ПГ по туризъм ""Алеко
Константинов""",Банкя,Производство на кулинарни изделия и напитки,7,0,0
6,"ПГЕБ ""Проф. д-р Асен
Златаров""",Витоша,Екология и опазване на околната среда,1,0,0
7,"ПГЕБ ""Проф. д-р Асен
Златаров""",Витоша,Технологичен и микробиологичен контрол в химични производства,10,0,0
8,"ПГЕБ ""Проф. д-р Асен
Златаров""",Витоша,"Технология на фармацевтичните и парфюмерийно-козметични
продукти",9,0,0
9,"74.СУ ""Гоце Делчев""",Връбница,Софтуерни и хардуерни науки,1,0,0
10,"74.СУ ""Гоце Делчев""",Връбница,Природни науки,1,0,0
11,"НПГПТО ""М. В. Ломоносов",Възраждане,Медицинска техника,1,0,0
12,ПГТКИ,Възраждане,Бутикови облекла,3,0,0
13,ПГТКИ,Възраждане,"Конструиране, моделиране и технология на облекло от кожи",6,0,0
14,ПГТКИ,Възраждане,"Конструиране, моделиране и технология на обувни
изделия/дуална/",12,0,0
15,ПГТКИ,Възраждане,"Конструиране, моделиране и технология на кожено-галантерийни
изделия",18,0,0
16,ПГ по ПСТТ,Възраждане,Пътно - строителна техника,9,0,0
17,ПГ по ПСТТ,Възраждане,"Подемно транспортна техника,монтирана на пътнитранспортни
средства",15,0,0
18,ПГ по ПСТТ,Възраждане,Електрически превозни средства,16,0,0
19,ПГ по ПСТТ,Възраждане,Локомотиви и вагони /дуална/,16,0,0
20,"113 СУ ""Сава Филаретов""",Илинден,"Професионална паралелка ""Продавач-консултант""",1,0,0
