СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 13.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2278  Математически - НЕ интензивно,492.75,499.5,без квоти
2.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ,487.75,498.5,без квоти
3.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,477.5,495,девойки
4.  ,2211304  НПМГ,0814  Математически - АЕ М Инф,476.5,492,без квоти
5.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно,475,499,девойки
6.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,474.5,486.5,девойки
7.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,470,484,девойки
8.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,467,483.5,девойки
9.  ,2211304  НПМГ,0821  Математически - НЕ,466.5,488.25,без квоти
10.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,465,494,девойки
11.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,464.5,484,девойки
12.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно,464,492,младежи
13.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ,461.25,498.5,без квоти
14.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,460,484.5,девойки
15.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,459,482,девойки
16.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,458.5,490,младежи
17.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,458,482,младежи
18.  ,2211304  НПМГ,1177  Софтуерни и хардуерни науки - АЕ,457.5,494.5,без квоти
19.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,457,469.5,девойки
20.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,454.5,474,девойки
21.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,454,488,девойки
22.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ БЕЛ,452.5,482.5,девойки
