СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 20.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2278  Математически - НЕ интензивно,492,492.5,без квоти
2.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ,482.5,492,без квоти
3.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,477,477,девойки
4.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,476,476,девойки
5.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно,470.5,486.5,девойки
6.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,465,475.5,девойки
7.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,463,470,девойки
8.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,463,469,девойки
9.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно,458.5,471,младежи
10.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,458.5,466,девойки
11.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,458,469,девойки
12.  ,2211304  НПМГ,0814  Математически - АЕ М Инф,457,480.25,без квоти
13.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ,456.75,482.5,без квоти
14.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,455.5,481,девойки
15.  ,2211304  НПМГ,0821  Математически - НЕ,454.75,482,без квоти
16.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,454.5,472,младежи
17.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,452.5,468.5,девойки
18.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,452,474,девойки
19.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,451.5,473,младежи
20.  ,2211304  НПМГ,1177  Софтуерни и хардуерни науки - АЕ,449,457.25,без квоти
21.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,449,455,девойки
22.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ БЕЛ,449,452,девойки
23.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,448,461,девойки
24.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,448,456,девойки
25.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,446,458.5,девойки
26.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2022  Чужди езици - АЕ интензивно НЕ БЗО ХООС,445,450,девойки
27.  ,2213350  ТУЕС към ТУ-София,2132  Компютърни мрежи - АЕ,444.75,455.5,без квоти
28.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,444.5,462,девойки
29.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,442.5,480.5,младежи
30.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,442,461.5,девойки
31.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,441.5,475,младежи
32.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,441.5,448,девойки
33.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,440.5,447.5,девойки
34.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,440,464.5,девойки
35.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Чужди езици - АЕ интензивно   РЕ,434,454.5,девойки
36.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ РЕ МАТ,433.5,451,девойки
37.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,433,451.5,младежи
38.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно   РЕ,431,440.5,девойки
39.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,430.5,453.5,младежи
40.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,428,463.5,младежи
41.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ БЕЛ,428,450,младежи
42.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,427.5,450,младежи
43.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,427,438.5,младежи
44.  ,"2205407  СПГЕ  ""Джон Атанасов""",2328  Системно програмиране - АЕ,426.5,449.5,без квоти
45.  ,2224433  НТБГ,0751  Банково дело - АЕ интензивно,426.5,447.5,девойки
46.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,426.5,443.5,младежи
47.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,426.5,432,младежи
48.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно   АЕ,426,433.5,девойки
49.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ РЕ ИТ,425.5,440,девойки
50.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,425,448.5,младежи
51.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2022  Чужди езици - АЕ интензивно НЕ БЗО ХООС,423.5,424.5,младежи
52.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,423,441,младежи
53.  ,"2211035  35. СЕУ ""Добри Войников""",0388  Чужди езици - НЕ РЕ БЕЛ,422,446,без квоти
54.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,421,448,младежи
55.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,418,423,младежи
56.  ,"2205407  СПГЕ  ""Джон Атанасов""",2338  Приложно програмиране - АЕ,416.75,440,без квоти
