"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
1,Банкя,"78. СУ ""Христо Смирненски"",
ГР.БАНКЯ",Извършване на термални процедури,463,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
2,Банкя,"78. СУ ""Христо Смирненски"",
ГР.БАНКЯ",Софтуерни и хардуерни науки - АЕ,468,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ИТ)
3,Банкя,"Професионална гимназия по
туризъм ""Алеко
Константинов"", ГР.БАНКЯ",Организация на хотелиерството - АЕ,344,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИЦ + 1 * ГИ)
4,Банкя,"Професионална гимназия по
туризъм ""Алеко
Константинов"", ГР.БАНКЯ","Организация на обслужването в
хотелиерството - АЕ",352,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИЦ + 1 * ГИ)
5,Банкя,"Професионална гимназия по
туризъм ""Алеко
Константинов"", ГР.БАНКЯ","Производство и обслужване в заведенията
за хранене и развлечения - АЕ",355,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
6,Банкя,"Професионална гимназия по
туризъм ""Алеко
Константинов"", ГР.БАНКЯ",Кетъринг - АЕ,358,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
7,Банкя,"Професионална гимназия по
туризъм ""Алеко
Константинов"", ГР.БАНКЯ","Производство на кулинарни изделия и
напитки - готвач",362,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
8,Витоша,"2. СУ ""Акад.Емилиян Станев"",
ГР.СОФИЯ",Природни науки - АЕ интензивно,947,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз)
9,Витоша,"2. СУ ""Акад.Емилиян Станев"",
ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ или ИЕ,951,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
10,Витоша,"2. СУ ""Акад.Емилиян Станев"",
ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,957,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
11,Витоша,"2. СУ ""Акад.Емилиян Станев"",
ГР.СОФИЯ",Обществени науки - АЕ интензивно,958,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
12,Витоша,"26 СУ ""Йордан Йовков"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",965,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз)
13,Витоша,"Професионална гимназия по
екология и биотехнологии
""Проф. д-р Асен Златаров"",
ГР.СОФИЯ",Екология и опазване на околната среда -АЕ,851,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
14,Витоша,"Професионална гимназия по
екология и биотехнологии
""Проф. д-р Асен Златаров"",
ГР.СОФИЯ","Технология на фармацевтичните и
парфюмерийно-козметични продукти - АЕ",874,професионална,52/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
15,Витоша,"Професионална гимназия по
екология и биотехнологии
""Проф. д-р Асен Златаров"",
ГР.СОФИЯ","Технологичен и микробиологичен контрол в
химични производства - лаборант",909,професионална,26/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
16,Витоша,"Професионална гимназия по
екология и биотехнологии
""Проф. д-р Асен Златаров"",
ГР.СОФИЯ",Осигуряване на продуктова информация -НЕ (дуална),2591,професионална,13/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
17,Витоша,"Професионална гимназия по
екология и биотехнологии
""Проф. д-р Асен Златаров"",
ГР.СОФИЯ",Осигуряване на продуктова информация -АЕ,2654,професионална,13/-/-,"(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 *
ХООС)"
18,Връбница,"74 СУ ""Гоце Делчев"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",1771,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
19,Връбница,"74 СУ ""Гоце Делчев"",
ГР.СОФИЯ",Природни науки - АЕ интензивно,1777,профилирана,26/-/-,"(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 *
ХООС)"
20,Връбница,"140. СУ ""Иван Богоров"",
ГР.СОФИЯ",Български танци,1895,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * Муз.)
21,Връбница,"140. СУ ""Иван Богоров"",
ГР.СОФИЯ",Графичен дизайн,1904,професионална,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1
* ИТ)"
22,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ,897,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
23,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - ФЕ интензивно ИЕ,902,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
24,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,905,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
25,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - ЯЕ интензивно АЕ,1631,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
26,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - АрЕ интензивно АЕ,1637,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
27,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - КитЕ интензивно АЕ,1642,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
28,Възраждане,"18 СУ ""Уилям Гладстон"",
ГР.СОФИЯ",Чужди езици - КорЕ интензивно АЕ,1647,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
29,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,1307,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
30,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ",Природни науки - ИЕ интензивно,1308,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ЧЕз)
31,Възраждане,"30 СУ ""Братя Миладинови"",
ГР.СОФИЯ","Икономическо развитие - АЕ интензивно
НЕ",2602,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз)
32,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2771,профилирана,0/13/13,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
33,Възраждане,"32.СУИЧЕ ""Св. Климент
Охридски, ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2773,профилирана,0/26/26,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
