"СВОБОДНИ МЕСТА ЗА ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС 
ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
№ по ред,Район,Училище,Паралелка,Код,Тип,Свободни места без квоти,Свободни места младежи,Свободни места девойки
,,,,,,,,
1,Банкя,"78. СУ ""Христо Смирненски"", ГР.БАНКЯ",Извършване на термални процедури,0463,професионална,4,,
2,Банкя,"78. СУ ""Христо Смирненски"", ГР.БАНКЯ",Софтуерни и хардуерни науки - АЕ,0468,профилирана,0,,
3,Банкя,"Професионална гимназия по туризъм ""Алеко Константинов"", ГР.БАНКЯ",Организация на хотелиерството - АЕ,0344,професионална,0,,
4,Банкя,"Професионална гимназия по туризъм ""Алеко Константинов"", ГР.БАНКЯ",Организация на обслужването в хотелиерството - АЕ,0352,професионална,2,,
5,Банкя,"Професионална гимназия по туризъм ""Алеко Константинов"", ГР.БАНКЯ",Производство и обслужване в заведенията за хранене и развлечения - АЕ,0355,професионална,7,,
6,Банкя,"Професионална гимназия по туризъм ""Алеко Константинов"", ГР.БАНКЯ",Кетъринг - АЕ,0358,професионална,0,,
7,Банкя,"Професионална гимназия по туризъм ""Алеко Константинов"", ГР.БАНКЯ",Производство на кулинарни изделия и напитки - готвач,0362,професионална,7,,
8,Витоша,"2. СУ ""Акад.Емилиян Станев"", ГР.СОФИЯ",Природни науки - АЕ интензивно,0947,профилирана,0,,
9,Витоша,"2. СУ ""Акад.Емилиян Станев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ или ИЕ,0951,профилирана,2,,
10,Витоша,"2. СУ ""Акад.Емилиян Станев"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,0957,профилирана,1,,
11,Витоша,"2. СУ ""Акад.Емилиян Станев"", ГР.СОФИЯ",Обществени науки - АЕ интензивно,0958,профилирана,3,,
12,Витоша,"26 СУ ""Йордан Йовков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0965,профилирана,2,,
13,Витоша,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",Екология и опазване на околната среда - АЕ,0851,професионална,0,,
14,Витоша,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,0874,професионална,15,,
15,Витоша,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",Технологичен и микробиологичен контрол в химични производства - лаборант,0909,професионална,10,,
