№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2278  Математически - НЕ интензивно  АЕ,481,490,без квоти
2.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ  НЕ,479.25,483.25,без квоти
3.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,478.5,479,девойки
4.  ,2211304  НПМГ,0814  Математически - АЕ М Инф,472.75,479,без квоти
5.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно  АЕ,467,475,девойки
6.  ,2211304  НПМГ,0821  Математически - НЕ М Инф,466.75,477.75,без квоти
7.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,464.5,475.5,девойки
8.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,464,466,девойки
9.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,463.5,466.5,девойки
10.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно  АЕ,462,476,младежи
11.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,461,467,девойки
12.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,461,463,девойки
13.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ  РЕ,460.5,478,без квоти
14.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,460.5,462.5,девойки
15.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,457,477,младежи
16.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,456,461.5,младежи
17.  ,2213350  ТУЕС към ТУ-София,2132  Компютърни мрежи - АЕ  РЕ,454,460.25,без квоти
18.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,451,467,девойки
19.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,451,463.5,девойки
20.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,447.5,453.5,девойки
21.  ,2216301  Първа АЕГ,3349  Предприемачество - АЕ интензивно НЕ,447.5,449,девойки
22.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,447,450,девойки
23.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2022  Чужди езици - АЕ интензивно НЕ БЗО ХООС,446,474,девойки
24.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,446,464,девойки
25.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,445,460,девойки
26.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,444.5,458.5,девойки
27.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,444,459,девойки
28.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,444,455.5,девойки
29.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ  БЕЛ,444,448.5,девойки
30.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,443.5,462,девойки
31.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,443.5,447,девойки
32.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,442.5,459,девойки
33.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,442,461,младежи
34.  ,"2205407  СПГЕ  ""Джон Атанасов""",2328  Системно програмиране - АЕ  НЕ,440.75,459,без квоти
35.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,440.5,460.5,младежи
36.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,440,456,младежи
37.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,438,456.5,младежи
38.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,436.5,439.5,младежи
39.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,435,454.5,младежи
40.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Математически - АЕ интензивно  РЕ,434.5,450.5,девойки
41.  ,"2205407  СПГЕ  ""Джон Атанасов""",2338  Приложно програмиране - АЕ  НЕ,434,440.5,без квоти
42.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,433.5,454,младежи
