№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ  НЕ,479,489,без квоти
2.  ,2211304  НПМГ,0821  Математически - НЕ М Инф,473.5,473.5,без квоти
3.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,461.5,461.5,младежи
4.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,460,460,девойки
5.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,459.5,459.5,младежи
6.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно  АЕ,457.5,463,девойки
7.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,457.5,460,девойки
8.  ,"2211419  СГСАГ ""Христо Ботев""",0973  Строителство и архитектура - НЕ,457,457,без квоти
9.  ,2213350  ТУЕС към ТУ-София,2132  Компютърни мрежи - АЕ  РЕ,455.25,455.25,без квоти
10.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,453,453,девойки
11.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,452.5,452.5,девойки
12.  ,2209051  51 СУ,2291  Изобразително изкуство - АЕ интензивно  ИтЕ,451,451,без квоти
13.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ  РЕ,450.25,450.25,без квоти
14.  ,2216301  Първа АЕГ,3349  Предприемачество - АЕ интензивно НЕ,447,447,младежи
15.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно  АЕ,444.5,444.5,девойки
16.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,442,442.5,девойки
17.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,441.5,441.5,девойки
18.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,441,441,девойки
