№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2278  Математически - НЕ интензивно  АЕ,490.75,500,без квоти
2.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ  НЕ,483.5,500,без квоти
3.  ,2211304  НПМГ,0814  Математически - АЕ М Инф,478.25,492,без квоти
4.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,477,492,девойки
5.  ,2211304  НПМГ,0821  Математически - НЕ М Инф,473.5,495,без квоти
6.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно  АЕ,469.5,499,девойки
7.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,469,498,девойки
8.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно  АЕ,467.5,493.5,младежи
9.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,466.5,482,девойки
10.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,466,499,девойки
11.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,466,491,младежи
12.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,465,481.5,девойки
13.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,463.5,494,девойки
14.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ  РЕ,463.25,497,без квоти
15.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,463,494,девойки
16.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,460.5,471.5,младежи
17.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,458.5,487,девойки
18.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,458.5,483.5,девойки
19.  ,2213350  ТУЕС към ТУ-София,2132  Компютърни мрежи - АЕ  РЕ,458.25,476,без квоти
20.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,454,483,девойки
21.  ,2216301  Първа АЕГ,3349  Предприемачество - АЕ интензивно НЕ,452.5,483.5,девойки
22.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,452.5,472,девойки
23.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2022  Чужди езици - АЕ интензивно НЕ БЗО ХООС,451,488,девойки
24.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ  БЕЛ,451,474.5,девойки
25.  ,2222009  9 ФЕГ,2158  Чужди езици - ФЕ интензивно   АЕ,450.5,476.5,девойки
26.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,450,465,девойки
27.  ,2216164  164 ГПИЕ,2564  Чужди езици - ИЕ интензивно ИтЕ,449,487,младежи
28.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,449,465.5,девойки
29.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,448.5,472,девойки
30.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,448.5,460,младежи
31.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,448,492,младежи
32.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,447.5,481,девойки
33.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2030  Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,447.5,457,девойки
34.  ,2222009  9 ФЕГ,2168  Чужди езици - ФЕ интензивно   НЕ,447,464,девойки
35.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,447,459,девойки
36.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2018  Чужди езици - АЕ интензивно НЕ М ФА,446.5,471.5,младежи
37.  ,"2205407  СПГЕ  ""Джон Атанасов""",2328  Системно програмиране - АЕ  НЕ,442.5,480,без квоти
38.  ,2216301  Първа АЕГ,3349  Предприемачество - АЕ интензивно НЕ,442.5,471,младежи
39.  ,"2224073  73. СУ ""Владислав Граматик""",2651  Чужди езици - НЕ интензивно РЕ,442.5,465,младежи
40.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,441,478.5,младежи
41.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Математически - АЕ интензивно  РЕ,440.5,463,девойки
42.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ интензивно РЕ М,440.5,454.5,девойки
43.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2020  Чужди езици - АЕ интензивно НЕ  БЕЛ,440,465,младежи
44.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,439.5,456,младежи
45.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,439,489,младежи
46.  ,2216164  164 ГПИЕ,2562  Чужди езици - ИЕ интензивно ФЕ,439,467.5,младежи
47.  ,2216164  164 ГПИЕ,2569  Чужди езици - ИЕ интензивно ПортЕ,439,459,младежи
48.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно  РЕ,438.5,446.5,девойки
