"СВОБОДНИ МЕСТА В ПАРАЛЕЛКИ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/2022 ГОДИНА 
/по информация от училищата към 03.09.2021 г./",,,,,,,
№,Училище:,Район:,Наименование на паралелката:,Код на паралелката:,Свободни места без квоти:,Свободни места за младежи:,Свободни места за девойки:
1,"ПГ по туризъм ""Алеко Константинов"" - гр. Банкя",Банкя,Организация на хотелиерството,0344,8,0,0
2,"ПГ по туризъм ""Алеко Константинов"" - гр. Банкя",Банкя,Производство и обслужване в заведенията за хранене и развлечения,0355,11,0,0
3,"ПГ по туризъм ""Алеко Константинов"" - гр. Банкя",Банкя,Кетъринг,0358,10,0,0
4,"ПГ по туризъм ""Алеко Константинов"" - гр. Банкя",Банкя,Производство на кулинарни изделия и напитки,0362,4,0,0
5,"ПГЕБ""Проф. д-р Асен Златаров""",Витоша,Технология на фармацевтичните и парфюмерийно-козметични продукти - НЕ-АЕ,3414,10,0,0
6,"ПГЕБ""Проф. д-р Асен Златаров""",Витоша,Технологичен и микробиологичен контрол в химични производства - Лаборант-АЕ-НЕ,0909,6,0,0
7,"ПГЕБ""Проф. д-р Асен Златаров""",Витоша ,Екология и опазване на околната среда ,0851,1,0,0
8,"ПГЕБ""Проф. д-р Асен Златаров""",Витоша ,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ-НЕ,0874,4,0,0
9,"74 Средно училище ""Гоце Делчев""",Връбница,Софтуерни и хардуерни науки,1771,2,-,-
10,"74 Средно училище ""Гоце Делчев""",Връбница,Природни науки,1777,9,-,-
11,140. СУ Иван Богоров,Връбница,Професия Танцьор ,1904,7,-,-
12,ПГ по ПСТТ,Възраждане,Пътно- строителна техника,2524,14,0,0
13,ПГ по ПСТТ,Възраждане,"Подемно - транспортна техника,монтирана на пътни превозни средства",2528,14,0,0
14,ПГ по ПСТТ,Възраждане,Електрически превозни средства,2612,16,0,0
15,ПГ по ПСТТ,Възраждане,Ръководител движение,3558,17,0,0
16,"СПГЕ ""Джон Атанасов""",Изгрев,"Микропроцесорна техника - АЕ, НЕ",2366,1,0,0
17,"СПГ ""Княгиня Евдокия""",Изгрев,Козметика,2845,3,0,0
18,"СПГ ""Княгиня Евдокия""",Изгрев,Промишлен дизайн,3381,3,0,0
19,"СПГ ""Княгиня Евдокия""",Изгрев,Икономическо информационно осигуряване,2840,6,0,0
20,"СПГ ""Княгиня Евдокия""",Изгрев,Извършване на термални процедури,2842,8,0,0
21,"СПГ ""Княгиня Евдокия""",Изгрев,"Маникюр, педикюр и ноктопластика",2847,7,0,0
22,113 СУ,Илинден,Продавач- консултант /АЕ/,1676,3,0,0
