"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2022/ 2023 ГОДИНА ",,,,,,,
,,,,,,,
"Забележки: 
- Оцветените в зелено паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места",,,,,,,
№ по ред,Училище,,Паралелка,,Места,,
,Код,Име,Код,Име,Общо,Мъже,Жени
,,,,,,,
1,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",2,,
2,2216001,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ",,,
3,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",2,,
4,2216001,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",,,
5,2213010,"10 Средно училище "" Теодор Траянов """,2101,Обществени науки - АЕ,3,,
6,2213010,"10 Средно училище "" Теодор Траянов """,3075,Природни науки - АЕ,4,,
7,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",2,,
8,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",4043,"Икономическо развитие-НЕ интензивно, АЕ",12,,
9,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",2,,
10,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",2,,
11,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",3,,
12,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",2,,
13,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Предприемачески - АЕ интензивно, НЕ",2,,
14,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,,
15,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,5,,
16,2206113,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,6,,
17,2210117,117. СУ,0975,Софтуерни и хардуерни науки,3,,
18,2213118,"118 Средно училище ""Академик Людмил Стоянов""",2943,Софтуерни и хардуерни науки - АЕ интензивно,4,,
19,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,1,,
20,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,,,
