"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 29.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3907,Математически (математика и физика) - АЕ (РИЧЕ),497.5,0,497.5,497.5,0,497.5
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),486.5,486.5,0,486.5,486.5,0
3,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",480.5,0,480.5,480.5,0,480.5
4,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,475.25,0,475.25,476.5,0,476.5
5,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,474.25,474.25,0,482,482,0
6,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,Чужди езици - НЕ интензивно /АЕ,467,467,467,469.5,469.5,467.5
7,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,464.5,479.25,464.5,479.25,479.25,464.5
8,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",449.75,0,449.75,449.75,0,449.75
9,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",449,449,0,449,449,0
10,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2366,"Микропроцесорна техника - АЕ, НЕ",446.75,446.75,0,446.75,446.75,0
11,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",443,0,443,443,0,443
