"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 11.07.2022
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Миниманлен бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2278,Математически (математика и информатика) - НЕ (ИИЧЕ),491,491,492.25,500,500,497.5
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),487.5,487.75,487.5,500,499,500
3,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),487.5,487.5,488.5,497.5,497.5,497
4,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3907,Математически (математика и физика) - АЕ (РИЧЕ),485.75,485.75,485.75,500,500,497.5
5,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,481,481,481.25,498.5,486.75,498.5
6,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,479.25,479.5,479.25,498.5,498.5,493.75
7,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",464.5,464.5,485,494,491.5,494
8,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,463.5,463.5,463.75,495.75,495.75,488.5
9,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,459,459,459.25,475.5,475.5,461
10,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,Чужди езици - НЕ интензивно /АЕ,458,458,469.5,498,496,498
11,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",455,455,467,480.5,480.5,478.5
12,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",450,450,478,497,485,497
13,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",448.25,448.25,449.75,468.5,468.5,456
14,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",447.5,448,447.5,482,482,478
15,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",447,447,459.5,477.5,454.5,477.5
16,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",447,447,458.5,486,486,484.5
17,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",443,443,470.5,500,477.5,500
18,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",441,441,468,484,461.5,484
19,2216301,Първа английска езикова гимназия,3349,"Предприемачество - АЕ интензивно, НЕ",439,439,448.5,489,466.5,489
20,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",438.5,438.5,452,484,456,484
21,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",438,438,463,498,468,498
22,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,436.56,436.56,445.95,480.11,478,480.11
23,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2020,"Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ",436.5,436.5,446.5,492,478.5,492
24,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,436.5,439,436.5,483.75,475.5,483.75
25,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ, М, ИТ",436,436,444.5,469.5,464,469.5
26,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2338,"Приложно програмиране - АЕ, НЕ",435.75,435.75,439.75,457,452,457
27,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ, М, ГИ",435.5,435.5,448.5,477,477,472
28,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",434.5,434.5,447,476.5,455,476.5
29,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,434.5,435.75,434.5,470.25,466.25,470.25
