Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
1,"1 Средно училище ""Пенчо П. Славейков""",1831,"Чужди езици - ИЕ интензивно, АЕ",2,-,-
2,"1 Средно училище ""Пенчо П. Славейков""",1900,"Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ",0,-,-
3,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",1,-,-
4,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",1,-,-
5,"10 Средно училище "" Теодор Траянов """,2101,Обществени науки - АЕ,0,-,-
6,"10 Средно училище "" Теодор Траянов """,3075,Природни науки - АЕ,0,-,-
7,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2886,"Икономическо развитие - АЕ интензивно, НЕ",2,-,-
8,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",2,-,-
9,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""",4043,"Икономическо развитие-НЕ интензивно, АЕ",2,-,-
10,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",0,-,-
11,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",1,-,-
12,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",0,-,-
13,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",0,-,-
14,"108 Средно училище ""Никола Беловеждов""",3675,"Предприемачески - АЕ интензивно, НЕ",1,-,-
15,"113 СУ ""САВА ФИЛАРЕТОВ""",1648,Продавач-консултант /РЕ/,4,-,-
16,"113 СУ ""САВА ФИЛАРЕТОВ""",1676,Продавач-консултант /АЕ/,4,-,-
17,117. СУ,0975,Софтуерни и хардуерни науки,1,-,-
18,"118 Средно училище ""Академик Людмил Стоянов""",2943,Софтуерни и хардуерни науки - АЕ интензивно,2,-,-
19,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,1,-,-
20,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,0,-,-
21,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,0,-,-
22,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,0,-,-
23,"12 Средно училище "" Цар Иван Асен II""",2159,"Природни науки - АЕ интензивно, НЕ",1,-,-
24,"12 Средно училище "" Цар Иван Асен II""",2209,Чужди езици - НЕ интензивно,0,-,-
25,"12 Средно училище "" Цар Иван Асен II""",2215,"Предприемачески - ФЕ интензивно, АЕ",1,-,-
26,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2637,Софтуерни и хардуерни науки - АЕ,2,-,-
27,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,1,-,-
28,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2647,Софтуерни и хардуерни науки - ИЕ,0,-,-
29,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги /АЕ/,0,-,-
30,"123 Средно училищe ""Стефан Стамболов""",3674,Логистика на товари и услуги /НЕ/,6,-,-
31,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,4,-,-
32,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,2,-,-
33,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Математически - АЕ интензивно,1,-,-
34,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1358,"Хумантарни науки - АЕ интензивно, НЕ",1,-,-
