"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),4,483.5,483.5,484,485.75,485.5,485.75
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),2,482,482,482,484.25,484.25,484
3,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,1,480,480,480,482.5,482.5,482.5
4,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,1,479.5,479.75,479.5,481.75,481.75,481.5
5,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,3,468.5,468.5,470.25,482.5,482.5,476
6,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,1,464.4,464.4,464.91,468.99,468.99,466.4
7,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",1,464,464,0,471,471,0
8,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,1,461.5,461.5,464,468.25,468.25,468.25
9,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",2,455,455,476,476,463,476
10,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",7,455,455,467,485,485,473
11,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",1,451.5,451.5,460,478,478,467
12,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",1,447,447,466,472,453.5,472
13,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",1,446,446,446.75,468.5,468.5,457.25
14,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",2,445.5,445.5,467,478,462,478
15,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",1,444.5,453.5,444.5,464,464,461.5
16,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",1,443,443,454,466,451,466
17,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,1,438.25,438.25,0,438.25,438.25,0
18,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2338,"Приложно програмиране - АЕ, НЕ",1,438,438,0,465.5,465.5,0
19,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ, М, ГИ",1,437.5,437.5,448.5,461,457,461
20,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",2,437.5,437.5,443,470,470,466.5
21,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",2,435,435,449.5,481.5,481.5,465
22,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",1,434.5,434.5,447.5,460.5,449.5,460.5
23,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2651,"Чужди езици - НЕ интензивно, РЕ",2,434,434,446,457,448.5,457
24,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2020,"Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ",1,432.5,432.5,442,453,453,451
25,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2030,"Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ",1,432,432,465.5,467.5,433.5,467.5
26,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ,1,431.67,434.24,431.67,474.9,474.9,431.67
27,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2028,"Чужди езици - АЕ интензивно, ИЕ, ИЦ, БЕЛ",1,430,430,441.5,460.5,453.5,460.5
28,2216301,Първа английска езикова гимназия,3349,"Предприемачески - АЕ интензивно, НЕ",1,429.5,429.5,440,450,445.5,450
29,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ, М, ИТ",1,429,429,438.5,470.5,452,470.5
30,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",1,425,430.75,425,453,430.75,453
31,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",1,424,427,424,449.5,447,449.5
32,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",2,424,424,441.5,472,472,471
33,2216301,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",1,423,423,437.5,440.5,428,440.5
34,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,1,422.75,422.75,475,478.25,478.25,475
35,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,1,420.66,422.67,420.66,444.09,422.67,444.09
36,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Чужди езици - ИЕ интензивно, АЕ",2,417,419,417,462,431.5,462
37,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",3998,"Компютърна анимация - АЕ интензивно, ИтЕ",1,416,416,416.5,435,435,434
38,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",3,416,416,440,455,452,455
39,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2168,"Чужди езици - ФЕ интензивно, НЕ",1,416,416,437,444.5,426.5,444.5
40,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,1,415.75,415.75,429.25,444.75,425,444.75
41,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",1,415,415,415.5,434.5,422,434.5
42,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",3,409.5,409.5,438,460.5,439,460.5
43,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",4338,"Чужди езици - ФЕ интензивно, Латински език",1,409,409,436.5,448,448,438.5
44,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - АЕ,1,408.5,0,408.5,431.5,0,431.5
45,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,Интериорен дизайн - ИтЕ,1,408.25,0,408.25,427.75,0,427.75
46,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",1,408,415.5,408,442.5,419,442.5
47,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",1,407,408.5,407,464,425,464
