"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 10.08.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),4,476.5,476.5,478,478,476.5,478
2,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,1,474.5,475.5,474.5,475.5,475.5,474.5
3,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,1,471.75,471.75,0,475.75,475.75,0
4,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",2,467,0,467,467,0,467
5,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",1,465,465,0,465,465,0
6,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",1,442.75,0,442.75,442.75,0,442.75
7,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",1,436.5,436.5,439,439,436.5,439
8,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",7,436,445.5,436,490,445.5,490
9,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",2,435.5,435.5,0,435.5,435.5,0
10,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ,1,430.35,430.35,0,430.35,430.35,0
11,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0388,"Чужди езици - НЕ интензивно, РЕ",1,429,0,429,429,0,429
12,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2577,"Чужди езици - ИЕ интензивно, АЕ",2,425.5,0,425.5,425.5,0,425.5
13,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",1,423,429.5,423,429.5,429.5,423
14,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",2,422.5,422.5,0,422.5,422.5,0
15,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",2,422.5,422.5,430,430,422.5,430
16,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",1,420,0,420,420,0,420
17,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",4140,"Програмиране на роботи - АЕ, НЕ",1,413.25,413.25,0,413.25,413.25,0
18,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",3371,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",1,413,0,413,413,0,413
19,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,1,411.25,411.25,0,411.25,411.25,0
20,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",1,411,411,0,411,411,0
21,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Чужди езици - АЕ интензивно, РЕ",1,406.5,0,406.5,406.5,0,406.5
22,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",3,406.5,406.5,0,406.5,406.5,0
23,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",3,402.5,402.5,0,402.5,402.5,0
24,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3635,"Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС",1,402,0,402,402,0,402
25,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",2565,"Чужди езици - АЕ интензивно, ИЕ",2,401,0,401,401,0,401
26,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,"Чужди езици - АЕ интензивно, НЕ",1,400.5,0,400.5,400.5,0,400.5
27,2216301,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",2,400.5,400.5,436,436,400.5,436
28,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, ФЕ",1,400,400,0,400,400,0
29,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,"Чужди езици - АЕ интензивно, ФЕ",1,394.5,0,394.5,418.5,0,418.5
30,2224022,"22 Средно езиково училище ""Георги Стойков Раковски""",3017,"Чужди езици - АЕ интензивно, НЕ",1,392,0,392,395,0,395
31,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,1,391.96,391.96,401.4,401.4,391.96,401.4
32,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,Графичен дизайн - АЕ,1,383.25,393,383.25,393,393,384
33,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0390,"Чужди езици - ФЕ интензивно, РЕ",1,383,387,383,387,387,383
34,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,Интериорен дизайн - ИтЕ,1,381.5,0,381.5,389.5,0,389.5
35,2212097,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ разширено,1,376.25,0,376.25,376.25,0,376.25
36,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",1,373,0,373,381.25,0,381.25
37,2216001,"1 Средно училище ""Пенчо П. Славейков""",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",1,371,371,373,375.5,371,375.5
38,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",1,370.75,377,370.75,377,377,370.75
39,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,"Чужди езици - АЕ интензивно, ИЕ",1,370.5,370.5,0,370.5,370.5,0
40,2206003,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,1,368.75,0,368.75,368.75,0,368.75
41,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",1,368.5,0,368.5,369.75,0,369.75
42,2220029,"29. Средно училище ""Кузман Шапкарев""",4459,Софтуерни и хардуерни науки /ИЕ/,1,367.25,367.25,0,367.25,367.25,0
43,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,1,367,0,367,367,0,367
44,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",1,364.5,364.5,0,364.5,364.5,0
45,2204018,"18 Средно училище ""Уилям Гладстон""",3931,"Природни науки - ФЕ интензивно, АЕ",1,363,0,363,363,0,363
46,2204018,"18 Средно училище ""Уилям Гладстон""",0897,"Природни науки - НЕ интензивно, АЕ",1,361,361,0,361,361,0
47,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,1,360.75,0,360.75,374.5,0,374.5
48,2209132,"132. Средно училище ""Ваня Войнова""",4283,Пространствен дизайн,1,360.75,0,360.75,360.75,0,360.75
49,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,1,360.25,380.25,360.25,434.75,380.25,434.75
50,2212303,"33. Езикова гимназия ""Света София""",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",1,358.5,0,358.5,358.5,0,358.5
51,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - АЕ интензивно, НЕ",1,358.5,358.5,0,358.5,358.5,0
52,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0389,"Чужди езици - интензивно НЕ, РЕ",1,356.5,356.5,0,391.5,391.5,0
53,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,Съдебна администрация - АЕ,1,354.75,0,354.75,354.75,0,354.75
54,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Чужди езици - АЕ интензивно, НЕ",1,351.5,0,351.5,351.5,0,351.5
55,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,1,349.5,349.5,0,349.5,349.5,0
56,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",1,349,0,349,364.5,0,364.5
57,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",1,348.5,0,348.5,353.75,0,353.75
58,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,Фотография - АЕ,1,346.75,0,346.75,362,0,362
59,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0363,"Чужди езици - АЕ интензивно, ФЕ",1,346,348.5,346,348.5,348.5,346.5
60,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",1,346,0,346,346,0,346
61,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, ФЕ",2,345,345,0,345,345,0
62,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,"Икономическо развитие - АЕ интензивно, НЕ",1,344,0,344,344,0,344
63,2204018,"18 Средно училище ""Уилям Гладстон""",1642,"Чужди езици - КитЕ интензивно, АЕ",1,343,0,343,343,0,343
64,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2909,"Чужди езици - ИЕ интензивно, АЕ/НЕ",1,342.25,0,342.25,342.25,0,342.25
65,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",1,342,342,0,364.75,364.75,0
66,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Предприемачески - АЕ интензивно, ИЕ",1,339.5,0,339.5,339.5,0,339.5
67,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",4448,Обществени науки - АЕ,1,339.25,339.25,0,339.25,339.25,0
68,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,1,338.75,0,338.75,338.75,0,338.75
69,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4388,Оперативно счетоводство - АЕ,1,338,339,338,339,339,338
70,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,1,338,338,0,399.25,399.25,0
71,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",1,336.5,0,336.5,336.5,0,336.5
72,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",1,336.25,336.25,0,343.5,343.5,0
73,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",1,336,336,339.5,339.5,336,339.5
74,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",1,335,335,0,347.25,347.25,0
75,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,1,335,335,0,335,335,0
76,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",2,335,335,407.5,422.5,422.5,407.5
77,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",1,334.5,344,334.5,366.25,344,366.25
78,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,1,333.5,0,333.5,340,0,340
79,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Чужди езици - ФЕ интензивно, ИЕ",1,332.5,334.5,332.5,334.5,334.5,332.5
80,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,1,332,0,332,332,0,332
81,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,331.5,0,331.5,336.5,0,336.5
82,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,1,328.5,0,328.5,328.5,0,328.5
83,2213144,"144 Средно училище ""Народни будители""",1123,Рекламна графика - АЕ,1,328,0,328,328,0,328
84,2204018,"18 Средно училище ""Уилям Гладстон""",1631,"Чужди езици - ЯЕ интензивно, АЕ",1,327,327,0,370,370,0
85,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",1,325.5,0,325.5,325.5,0,325.5
86,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",1,325,0,325,325,0,325
