"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2023 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),486,486,486,500,499,500
2,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,471,471,471.25,500,495.25,500
3,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),484.5,484.5,484.5,499.5,496.5,499.5
4,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,483.5,483.5,484,498.5,498.5,498
5,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",456.5,456.5,476.5,498,485,498
6,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,482.5,482.5,482.5,497.5,497.5,493.25
7,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",459,459,469.5,496,491,496
8,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,466.96,466.96,468.46,495.98,484.44,495.98
9,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",468.5,468.5,481,495,486,495
10,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2158,"Чужди езици - ФЕ интензивно, АЕ",425,425,446.5,493,454.5,493
11,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,440,440,441,491,491,491
12,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,465.5,465.5,466.25,491,481.5,491
13,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2030,"Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ",436,436,449.5,489,489,485
14,2216301,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",442,442,454,488.5,481.5,488.5
15,2222009,"9 Френска езикова гимназия ""Алфонс дьо Ламартин""",2163,"Чужди езици - ФЕ интензивно, ИЕ",413.5,413.5,444.5,486,478.5,486
16,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",447,454.5,447,486,476,486
17,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",450,450,471,485,477,485
18,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",437,437,450,484.5,449.5,484.5
19,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,411.36,411.36,412.89,484.5,484.5,446.01
20,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,434.5,438.25,434.5,484,478.25,484
21,2216301,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",447,447,455.5,483.5,476,483.5
22,2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА""",2276,"Компютърна графика - АЕ интензивно, НЕ",418,418,418,483,456.5,483
23,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",457,457,465.5,483,478,483
