"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2025/2026 ГОДИНА ",,,,,,,,
"Забележки: 
- Оцветените в синьо паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места
- За паралелките с профил ""Физическо възпитание и спорт"" в 28. СУ и 132. СУ документи се подават  в конкретното училище",,,,,,,,
,,,,,,,,
№,Училище,,Паралелка,,Свободни места,,,
,Код,Име,Код,Име,Общо,Мъже,Жени,
,,,,,,,,
1,2201078,"78. Средно училище ""Христо Смирненски""",0463,Извършване на термални процедури - АЕ,7,-,-,
2,2201078,"78. Средно училище ""Христо Смирненски""",4798,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",4,-,-,
3,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,12,-,-,
4,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0358,Производство и обслужване в заведенията за хранене и развлечения - АЕ,19,-,-,
5,2201400,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,2,-,-,
6,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ",0,-,-,
7,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Хуманитарни науки - АЕ интензивно, ИЕ, БЕЛ и ИЦ",6,-,-,
8,2202002,"2 Средно училище ""Академик Емилиян Станев """,4565,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език немски",2,-,-,
9,2202002,"2 Средно училище ""Академик Емилиян Станев """,4702,"Програмиране на изкуствен интелект - английски интензивно, втори чужд език испански",3,-,-,
10,2202026,"26 Средно училище ""Йордан Йовков""",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",4,-,-,
11,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,5,-,-,
12,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,23,-,-,
13,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,6,-,-,
14,2202401,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ,20,-,-,
15,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1771,Софтуерни и хардуерни науки - АЕ интензивно,11,-,-,
16,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,Природни науки - АЕ интензивно,12,-,-,
17,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1895,Български танци,5,-,-,
18,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ""",1904,Графичен дизайн,6,-,-,
