"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",4486,Математически (математика и физика) - АЕ (РИЧЕ),493.25,493.5,493.25,500,498,500
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),490.5,490.75,490.5,500,500,499.5
3,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",5011,Математически (математика и физика) - НЕ (ИИЧЕ),490,490,490.5,499.5,497,499.5
4,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,488,488,488.25,499,497.5,499
5,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,487.5,487.5,487.5,498,497.5,498
6,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),487.5,487.5,489.5,498.5,494,498.5
7,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",475.5,475.5,485,495,495,494.5
8,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",4922,"Програмиране на изкуствен интелект - АЕ, НЕ",474.75,474.75,477.75,496,492.5,496
9,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,472.2,472.2,475.44,492.73,491.73,492.73
10,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",4921,"Системно програмиране - АЕ, НЕ",471.75,471.75,473.5,497,497,483.5
11,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",468.5,468.5,473,498,494,498
12,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,"Системно програмиране - АЕ, РЕ",467.25,467.25,467.75,487.5,487.5,479.5
13,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2564,"Чужди езици - ИЕ интензивно, ИтЕ",467,467,481.5,498,496,498
14,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ ГИ М,465,465.5,465,494,494,490.5
15,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,"Компютърни мрежи - АЕ, РЕ",464.25,464.25,465,494,494,476.25
16,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2658,"Чужди езици - НЕ интензивно, АЕ",463.5,463.5,467,486.5,476,486.5
17,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2562,"Чужди езици - ИЕ интензивно, ФЕ",461.5,461.5,474.5,494,494,490.5
18,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2569,"Чужди езици - ИЕ интензивно, ПортЕ",461,461,474.5,483.5,466,483.5
19,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,460.75,460.75,461.25,496,496,487.25
20,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,458.72,461.75,458.72,493.5,493.5,484.4
21,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,458.38,462.47,458.38,491.61,491.61,479.81
22,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",5128,"Математически - НЕ интензивно, РЕ, М и ФА",457,457,461,473.5,471.5,473.5
23,2224073,"73.СУ с преподаване на чужди езици ""Владислав Граматик""",2656,"Чужди езици - НЕ интензивно, ФЕ",456.5,456.5,464.5,480,466.5,480
24,2206302,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ",453,453,460.5,482.5,482.5,480.5
