"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
1,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",4486,Математически (математика и физика) - АЕ (РИЧЕ),492,492,492.5,493,493,493
2,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),485,485,485.25,491.5,491.5,487.5
3,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,484.75,484.75,0,487.25,487.25,0
4,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",5011,Математически (математика и физика) - НЕ (ИИЧЕ),484.75,484.75,0,490.75,490.75,0
5,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,484.5,484.5,487,489.25,489.25,487
6,2216306,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),482.75,482.75,482.75,487.25,485,487.25
7,2216164,"164. гимназия с преподаване на испански език ""Мигел де Сервантес""",2561,"Чужди езици - ИЕ интензивно, АЕ",475,475,483.5,484,480,484
8,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",4922,"Програмиране на изкуствен интелект - АЕ, НЕ",473.5,473.5,473.5,483.75,482.5,483.75
9,2211304,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,470.46,471.96,470.46,471.99,471.96,471.99
10,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София",4921,"Системно програмиране - АЕ, НЕ",470,470.25,470,485.5,485.5,470.5
11,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,"Чужди езици - НЕ интензивно, АЕ",464.5,464.5,470.5,485,485,482
