СТАТИСТИКА ЗА УСПЕВАЕМОСТТА ОТ НВО В 7. КЛАС ПО БЕЛ И МАТЕМАТИКА - ОБЩО И ПО ПОЛ   26.06.2020 ,,,,,,,,,
Брой точки,общо БЕЛ,общо МАТ,общо БЕЛ+МАТ,Мъже БЕЛ,Мъже МАТ,Мъже БЕЛ+МАТ,Жени БЕЛ,Жени МАТ,Жени БЕЛ+МАТ
0,13,15,5,7,8,3,6,7,2
1,8,2,1,6,1,1,2,1,
2,24,6,4,14,5,1,10,1,3
3,11,31,4,6,19,2,5,12,2
4,17,9,5,15,2,3,2,7,2
5,22,35,4,9,15,1,13,20,3
6,25,57,5,13,31,2,12,26,3
7,24,44,4,12,23,1,12,21,3
8,42,94,6,28,47,2,14,47,4
9,38,122,10,25,69,5,13,53,5
10,28,73,7,20,45,6,8,28,1
11,34,155,12,23,84,9,11,71,3
12,32,142,7,18,71,4,14,71,3
13,35,141,10,26,68,7,9,73,3
14,31,165,19,21,86,10,10,79,9
15,38,160,21,26,88,17,12,72,4
16,32,161,17,14,79,10,18,82,7
17,32,191,17,24,111,12,8,80,5
18,40,177,21,23,89,10,17,88,11
19,28,169,21,21,86,13,7,83,8
20,35,168,23,24,86,13,11,82,10
21,33,155,18,26,79,11,7,76,7
22,43,157,26,29,84,21,14,73,5
23,30,135,27,20,84,18,10,51,9
24,37,147,31,19,80,12,18,67,19
25,41,140,32,24,80,21,17,60,11
26,38,121,26,26,67,22,12,54,4
27,49,118,31,30,48,19,19,70,12
28,43,147,14,24,69,7,19,78,7
29,54,120,25,35,68,18,19,52,7
30,52,136,32,23,79,22,29,57,10
31,35,138,26,22,67,14,13,71,12
32,48,115,33,29,57,20,19,58,13
33,59,108,36,41,66,21,18,42,15
34,65,119,32,43,58,18,22,61,14
35,74,117,27,53,64,17,21,53,10
36,83,138,28,58,69,14,25,69,14
37,66,124,36,43,60,26,23,64,10
38,74,127,45,51,71,31,23,56,14
39,83,117,35,61,54,19,22,63,16
40,61,122,32,41,59,18,20,63,14
41,76,118,30,53,58,16,23,60,14
42,82,85,41,53,50,26,29,35,15
43,91,114,28,61,65,15,30,49,13
44,89,134,38,53,65,26,36,69,12
45,105,122,37,61,58,17,44,64,20
46,84,134,42,50,73,27,34,61,15
47,101,117,44,49,62,26,52,55,18
48,105,106,50,75,51,30,30,55,20
49,127,111,43,74,63,29,53,48,14
50,133,109,32,81,65,24,52,44,8
51,134,118,57,88,60,37,46,58,20
52,109,100,39,65,53,23,44,47,16
53,142,110,33,77,57,21,65,53,12
54,156,128,40,94,70,29,62,58,11
55,127,129,41,71,56,22,56,73,19
56,134,100,67,80,57,46,54,43,21
57,158,100,57,94,50,32,64,50,25
58,152,120,57,84,67,37,68,53,20
59,163,99,59,93,55,35,70,44,24
60,159,117,47,94,49,23,65,68,24
61,153,117,48,80,66,19,73,51,29
62,175,98,60,94,61,32,81,37,28
63,162,102,63,76,52,33,86,50,30
64,169,113,56,98,57,26,71,56,30
65,162,92,63,87,46,40,75,46,23
66,175,102,65,105,60,35,70,42,30
67,175,102,70,83,39,44,92,63,26
68,208,108,63,114,52,41,94,56,22
69,180,94,57,93,44,32,87,50,25
70,206,99,66,102,54,41,104,45,25
71,204,96,75,104,51,44,100,45,31
72,175,94,79,85,46,44,90,48,35
73,207,124,73,109,62,35,98,62,38
74,192,92,61,106,50,31,86,42,30
75,184,96,64,89,54,39,95,42,25
76,185,73,59,97,35,30,88,38,29
77,211,112,60,97,51,38,114,61,22
78,202,102,75,98,45,44,104,57,31
79,192,88,70,88,45,37,104,43,33
80,222,83,79,112,35,35,110,48,44
81,195,109,55,84,61,27,111,48,28
82,197,75,66,87,26,31,110,49,35
83,213,93,68,102,43,39,111,50,29
84,175,98,86,79,50,49,96,48,37
85,201,86,70,101,41,34,100,45,36
86,184,65,66,76,29,37,108,36,29
87,197,81,68,77,37,28,120,44,40
88,196,76,76,72,37,40,124,39,36
89,189,65,82,65,32,44,124,33,38
90,193,92,62,65,43,33,128,49,29
91,149,67,71,51,28,32,98,39,39
92,143,66,69,45,37,35,98,29,34
93,154,50,71,41,22,43,113,28,28
94,123,65,54,27,33,28,96,32,26
95,102,65,63,29,37,33,73,28,30
