"Статистика за успеваемост по полове и изпити, РУО СОФИЯ-ГРАД",,,,,,,,,
Брой точки,БЕЛ,МАТ,БЕЛ+МАТ,Мъже БЕЛ,Мъже МАТ,Мъже БЕЛ+МАТ,Жени БЕЛ,Жени МАТ,Жени БЕЛ+МАТ
0,19,21,10,14,12,7,5,9,3
1,9,2,2,6,,2,3,2,
2,12,5,4,7,2,3,5,3,1
3,9,30,5,4,23,4,5,7,1
4,11,5,3,7,3,1,4,2,2
5,21,24,2,14,16,2,7,8,
6,23,65,6,18,32,5,5,33,1
7,24,22,4,15,8,4,9,14,
8,30,70,10,19,39,6,11,31,4
9,26,110,6,17,62,3,9,48,3
10,22,47,8,17,24,6,5,23,2
11,34,151,11,18,85,4,16,66,7
12,24,157,13,11,71,5,13,86,8
13,25,117,17,14,61,7,11,56,10
14,34,192,8,19,106,4,15,86,4
15,26,171,10,16,80,7,10,91,3
16,22,158,10,15,83,7,7,75,3
17,30,204,12,22,103,8,8,101,4
18,34,170,16,25,94,11,9,76,5
19,32,169,21,24,83,13,8,86,8
20,32,201,15,21,121,10,11,80,5
21,40,166,15,24,91,12,16,75,3
22,31,157,18,21,80,10,10,77,8
23,29,184,15,22,96,8,7,88,7
24,20,146,26,16,74,13,4,72,13
25,51,154,29,33,87,20,18,67,9
26,37,153,24,23,87,16,14,66,8
27,37,137,26,24,77,14,13,60,12
28,37,140,20,20,75,17,17,65,3
29,44,143,27,33,81,19,11,62,8
30,40,151,16,34,87,12,6,64,4
31,48,126,27,34,62,17,14,64,10
32,36,125,17,23,71,9,13,54,8
33,56,136,29,38,73,21,18,63,8
34,52,121,27,37,62,13,15,59,14
35,47,107,25,29,59,19,18,48,6
36,52,105,25,31,51,13,21,54,12
37,66,94,26,45,52,18,21,42,8
38,60,111,24,45,58,12,15,53,12
39,68,117,33,48,57,21,20,60,12
40,72,91,28,48,59,16,24,32,12
41,77,107,31,43,55,21,34,52,10
42,90,91,35,64,50,19,26,41,16
43,87,88,37,61,38,24,26,50,13
44,93,111,35,57,58,26,36,53,9
45,87,108,21,59,58,14,28,50,7
46,103,109,33,65,49,25,38,60,8
47,97,96,45,65,50,31,32,46,14
48,96,94,39,59,38,28,37,56,11
49,96,90,37,54,48,23,42,42,14
50,105,89,40,63,46,25,42,43,15
51,106,84,45,79,39,24,27,45,21
52,141,99,48,87,51,33,54,48,15
53,137,111,43,69,67,25,68,44,18
54,157,97,48,99,45,31,58,52,17
55,136,97,53,76,51,28,60,46,25
56,137,102,47,80,57,27,57,45,20
57,159,99,60,85,53,38,74,46,22
58,167,85,41,109,34,24,58,51,17
59,170,102,48,96,52,26,74,50,22
60,157,102,57,92,51,35,65,51,22
61,166,92,58,96,47,34,70,45,24
62,194,92,54,114,55,35,80,37,19
63,212,91,56,123,47,36,89,44,20
64,187,115,66,105,64,33,82,51,33
65,182,106,53,96,56,30,86,50,23
66,195,90,59,100,50,37,95,40,22
67,187,108,59,104,57,39,83,51,20
68,200,115,69,104,54,38,96,61,31
69,202,103,68,90,57,33,112,46,35
70,216,97,72,115,44,41,101,53,31
71,226,111,87,114,52,53,112,59,34
72,214,104,73,112,48,40,102,56,33
73,222,110,89,107,50,44,115,60,45
74,221,104,67,111,57,36,110,47,31
75,219,108,75,112,54,49,107,54,26
76,218,116,75,111,59,34,107,57,41
77,234,126,89,116,47,49,118,79,40
78,242,121,82,113,54,46,129,67,36
79,237,116,76,113,59,40,124,57,36
80,224,114,71,100,60,37,124,54,34
81,209,127,72,89,76,41,120,51,31
82,227,122,89,102,60,55,125,62,34
83,234,131,80,103,70,40,131,61,40
