Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
,,,,,,"Статистика за успеваемостта
НВО 7. клас",,,,,,,,,,,,
,,,,,,БЕЛ,МАТ,,,,,,Сумарен брой точки,,,,,
Точки (от - до),Общо,Брой >,Мъже,Брой >,Жени,Брой >,Общо,Брой >,Мъже,Брой >,Жени,Брой >,Общо,Брой >,Мъже,Брой >,Жени,Брой >
0,6,11675,3,6033,3,5642,5,11647,4,6016,1,5631,1,11634,1,6008,0,5626
0 - 0.999,6,11675,3,6033,3,5642,5,11647,4,6016,1,5631,1,11697,1,6046,0,5651
1 - 1.999,4,11671,3,6030,1,5641,0,11647,0,6016,0,5631,0,11697,0,6046,0,5651
2 - 2.999,9,11662,6,6024,3,5638,3,11644,1,6015,2,5629,1,11696,0,6046,1,5650
3 - 3.999,8,11654,3,6021,5,5633,12,11632,9,6006,3,5626,2,11694,1,6045,1,5649
4 - 4.999,10,11644,6,6015,4,5629,11,11621,5,6001,6,5620,1,11693,1,6044,0,5649
5 - 5.999,11,11633,8,6007,3,5626,12,11609,8,5993,4,5616,1,11692,0,6044,1,5648
6 - 6.999,23,11610,16,5991,7,5619,24,11585,15,5978,9,5607,6,11686,6,6038,0,5648
7 - 7.999,28,11582,20,5971,8,5611,52,11533,32,5946,20,5587,2,11684,2,6036,0,5648
8 - 8.999,15,11567,13,5958,2,5609,42,11491,21,5925,21,5566,2,11682,2,6034,0,5648
9 - 9.999,31,11536,20,5938,11,5598,52,11439,23,5902,29,5537,6,11676,3,6031,3,5645
10 - 10.999,22,11514,19,5919,3,5595,76,11363,43,5859,33,5504,3,11673,2,6029,1,5644
11 - 11.999,27,11487,14,5905,13,5582,81,11282,51,5808,30,5474,3,11670,2,6027,1,5643
12 - 12.999,27,11460,23,5882,4,5578,103,11179,57,5751,46,5428,8,11662,6,6021,2,5641
13 - 13.999,27,11433,18,5864,9,5569,107,11072,53,5698,54,5374,6,11656,4,6017,2,5639
14 - 14.999,36,11397,28,5836,8,5561,113,10959,66,5632,47,5327,14,11642,8,6009,6,5633
15 - 15.999,16,11381,13,5823,3,5558,129,10830,68,5564,61,5266,8,11634,5,6004,3,5630
16 - 16.999,26,11355,17,5806,9,5549,131,10699,74,5490,57,5209,3,11631,2,6002,1,5629
17 - 17.999,36,11319,25,5781,11,5538,147,10552,69,5421,78,5131,18,11613,10,5992,8,5621
18 - 18.999,27,11292,22,5759,5,5533,135,10417,72,5349,63,5068,8,11605,4,5988,4,5617
19 - 19.999,33,11259,23,5736,10,5523,141,10276,67,5282,74,4994,13,11592,12,5976,1,5616
20 - 20.999,31,11228,22,5714,9,5514,142,10134,70,5212,72,4922,12,11580,6,5970,6,5610
21 - 21.999,35,11193,21,5693,14,5500,158,9976,90,5122,68,4854,15,11565,9,5961,6,5604
22 - 22.999,42,11151,25,5668,17,5483,142,9834,66,5056,76,4778,18,11547,15,5946,3,5601
23 - 23.999,36,11115,22,5646,14,5469,132,9702,70,4986,62,4716,19,11528,13,5933,6,5595
24 - 24.999,34,11081,18,5628,16,5453,149,9553,73,4913,76,4640,22,11506,14,5919,8,5587
25 - 25.999,37,11044,27,5601,10,5443,146,9407,73,4840,73,4567,18,11488,15,5904,3,5584
26 - 26.999,51,10993,35,5566,16,5427,142,9265,73,4767,69,4498,23,11465,12,5892,11,5573
27 - 27.999,42,10951,29,5537,13,5414,139,9126,75,4692,64,4434,20,11445,13,5879,7,5566
28 - 28.999,45,10906,30,5507,15,5399,134,8992,82,4610,52,4382,24,11421,17,5862,7,5559
29 - 29.999,46,10860,28,5479,18,5381,144,8848,84,4526,60,4322,27,11394,21,5841,6,5553
30 - 30.999,57,10803,41,5438,16,5365,124,8724,62,4464,62,4260,18,11376,10,5831,8,5545
31 - 31.999,45,10758,36,5402,9,5356,128,8596,69,4395,59,4201,26,11350,17,5814,9,5536
32 - 32.999,33,10725,21,5381,12,5344,129,8467,55,4340,74,4127,21,11329,15,5799,6,5530
33 - 33.999,46,10679,36,5345,10,5334,110,8357,56,4284,54,4073,20,11309,12,5787,8,5522
34 - 34.999,49,10630,34,5311,15,5319,130,8227,81,4203,49,4024,24,11285,16,5771,8,5514
35 - 35.999,64,10566,42,5269,22,5297,117,8110,58,4145,59,3965,26,11259,20,5751,6,5508
36 - 36.999,71,10495,39,5230,32,5265,129,7981,59,4086,70,3895,28,11231,20,5731,8,5500
37 - 37.999,49,10446,36,5194,13,5252,122,7859,56,4030,66,3829,23,11208,15,5716,8,5492
38 - 38.999,75,10371,47,5147,28,5224,138,7721,73,3957,65,3764,33,11175,21,5695,12,5480
39 - 39.999,66,10305,47,5100,19,5205,112,7609,64,3893,48,3716,28,11147,16,5679,12,5468
40 - 40.999,71,10234,45,5055,26,5179,121,7488,59,3834,62,3654,23,11124,18,5661,5,5463
41 - 41.999,54,10180,29,5026,25,5154,122,7366,68,3766,54,3600,35,11089,24,5637,11,5452
42 - 42.999,71,10109,46,4980,25,5129,118,7248,51,3715,67,3533,25,11064,16,5621,9,5443
43 - 43.999,95,10014,64,4916,31,5098,118,7130,67,3648,51,3482,31,11033,20,5601,11,5432
44 - 44.999,82,9932,54,4862,28,5070,106,7024,55,3593,51,3431,40,10993,28,5573,12,5420
45 - 45.999,90,9842,49,4813,41,5029,126,6898,56,3537,70,3361,33,10960,22,5551,11,5409
46 - 46.999,99,9743,59,4754,40,4989,111,6787,51,3486,60,3301,32,10928,19,5532,13,5396
47 - 47.999,94,9649,60,4694,34,4955,129,6658,61,3425,68,3233,38,10890,24,5508,14,5382
48 - 48.999,101,9548,68,4626,33,4922,111,6547,49,3376,62,3171,30,10860,17,5491,13,5369
49 - 49.999,113,9435,70,4556,43,4879,96,6451,42,3334,54,3117,38,10822,22,5469,16,5353
50 - 50.999,117,9318,73,4483,44,4835,142,6309,77,3257,65,3052,48,10774,32,5437,16,5337
51 - 51.999,134,9184,79,4404,55,4780,127,6182,68,3189,59,2993,36,10738,21,5416,15,5322
52 - 52.999,123,9061,75,4329,48,4732,107,6075,50,3139,57,2936,27,10711,20,5396,7,5315
53 - 53.999,127,8934,81,4248,46,4686,111,5964,59,3080,52,2884,37,10674,24,5372,13,5302
54 - 54.999,95,8839,55,4193,40,4646,107,5857,64,3016,43,2841,56,10618,34,5338,22,5280
55 - 55.999,121,8718,66,4127,55,4591,112,5745,66,2950,46,2795,39,10579,16,5322,23,5257
56 - 56.999,142,8576,81,4046,61,4530,131,5614,64,2886,67,2728,45,10534,27,5295,18,5239
57 - 57.999,140,8436,78,3968,62,4468,99,5515,46,2840,53,2675,49,10485,35,5260,14,5225
58 - 58.999,166,8270,95,3873,71,4397,134,5381,71,2769,63,2612,53,10432,30,5230,23,5202
59 - 59.999,130,8140,76,3797,54,4343,115,5266,60,2709,55,2557,44,10388,28,5202,16,5186
60 - 60.999,154,7986,96,3701,58,4285,120,5146,58,2651,62,2495,41,10347,20,5182,21,5165
61 - 61.999,152,7834,79,3622,73,4212,117,5029,59,2592,58,2437,50,10297,33,5149,17,5148
62 - 62.999,146,7688,82,3540,64,4148,120,4909,67,2525,53,2384,43,10254,20,5129,23,5125
63 - 63.999,164,7524,98,3442,66,4082,139,4770,62,2463,77,2307,55,10199,34,5095,21,5104
64 - 64.999,158,7366,82,3360,76,4006,129,4641,58,2405,71,2236,51,10148,25,5070,26,5078
65 - 65.999,155,7211,87,3273,68,3938,102,4539,50,2355,52,2184,54,10094,35,5035,19,5059
66 - 66.999,135,7076,80,3193,55,3883,100,4439,44,2311,56,2128,55,10039,24,5011,31,5028
67 - 67.999,176,6900,92,3101,84,3799,116,4323,57,2254,59,2069,58,9981,37,4974,21,5007
68 - 68.999,199,6701,107,2994,92,3707,126,4197,64,2190,62,2007,52,9929,26,4948,26,4981
69 - 69.999,185,6516,99,2895,86,3621,112,4085,63,2127,49,1958,53,9876,27,4921,26,4955
70 - 70.999,183,6333,95,2800,88,3533,107,3978,52,2075,55,1903,55,9821,34,4887,21,4934
71 - 71.999,195,6138,106,2694,89,3444,127,3851,64,2011,63,1840,53,9768,24,4863,29,4905
72 - 72.999,192,5946,101,2593,91,3353,122,3729,73,1938,49,1791,50,9718,27,4836,23,4882
73 - 73.999,210,5736,97,2496,113,3240,111,3618,52,1886,59,1732,65,9653,31,4805,34,4848
74 - 74.999,188,5548,85,2411,103,3137,113,3505,57,1829,56,1676,59,9594,34,4771,25,4823
75 - 75.999,212,5336,110,2301,102,3035,145,3360,73,1756,72,1604,62,9532,35,4736,27,4796
76 - 76.999,242,5094,130,2171,112,2923,134,3226,70,1686,64,1540,52,9480,26,4710,26,4770
77 - 77.999,206,4888,110,2061,96,2827,114,3112,62,1624,52,1488,61,9419,33,4677,28,4742
78 - 78.999,249,4639,124,1937,125,2702,144,2968,77,1547,67,1421,79,9340,44,4633,35,4707
79 - 79.999,250,4389,130,1807,120,2582,154,2814,85,1462,69,1352,52,9288,31,4602,21,4686
80 - 80.999,259,4130,136,1671,123,2459,107,2707,50,1412,57,1295,80,9208,40,4562,40,4646
81 - 81.999,260,3870,117,1554,143,2316,152,2555,71,1341,81,1214,58,9150,34,4528,24,4622
82 - 82.999,257,3613,116,1438,141,2175,161,2394,97,1244,64,1150,68,9082,38,4490,30,4592
83 - 83.999,249,3364,109,1329,140,2035,129,2265,73,1171,56,1094,66,9016,37,4453,29,4563
84 - 84.999,265,3099,133,1196,132,1903,154,2111,72,1099,82,1012,63,8953,39,4414,24,4539
85 - 85.999,258,2841,121,1075,137,1766,153,1958,79,1020,74,938,73,8880,39,4375,34,4505
86 - 86.999,258,2583,116,959,142,1624,159,1799,84,936,75,863,58,8822,31,4344,27,4478
87 - 87.999,264,2319,104,855,160,1464,156,1643,84,852,72,791,74,8748,35,4309,39,4439
88 - 88.999,264,2055,122,733,142,1322,148,1495,70,782,78,713,74,8674,36,4273,38,4401
89 - 89.999,289,1766,126,607,163,1159,119,1376,60,722,59,654,65,8609,33,4240,32,4369
90 - 90.999,274,1492,113,494,161,998,148,1228,70,652,78,576,59,8550,32,4208,27,4342
91 - 91.999,231,1261,79,415,152,846,137,1091,80,572,57,519,64,8486,32,4176,32,4310
92 - 92.999,252,1009,91,324,161,685,194,897,94,478,100,419,74,8412,33,4143,41,4269
93 - 93.999,225,784,76,248,149,536,127,770,62,416,65,354,80,8332,39,4104,41,4228
94 - 94.999,217,567,76,172,141,395,79,691,45,371,34,320,84,8248,43,4061,41,4187
95 - 95.999,168,399,56,116,112,283,75,616,35,336,40,280,80,8168,46,4015,34,4153
96 - 96.999,142,257,44,72,98,185,83,533,35,301,48,232,75,8093,44,3971,31,4122
97 - 97.999,128,129,42,30,86,99,64,469,32,269,32,200,72,8021,37,3934,35,4087
98 - 98.999,78,51,17,13,61,38,77,392,46,223,31,169,84,7937,43,3891,41,4046
99 - 99.999,44,7,8,5,36,2,166,226,89,134,77,92,82,7855,44,3847,38,4008
100 - 100.999,7,0,5,0,2,0,226,0,134,0,92,0,59,7796,33,3814,26,3982
101 - 101.999,0,0,0,0,0,0,0,0,0,0,0,0,80,7716,52,3762,28,3954
102 - 102.999,0,0,0,0,0,0,0,0,0,0,0,0,63,7653,32,3730,31,3923
103 - 103.999,0,0,0,0,0,0,0,0,0,0,0,0,72,7581,38,3692,34,3889
104 - 104.999,0,0,0,0,0,0,0,0,0,0,0,0,69,7512,31,3661,38,3851
105 - 105.999,0,0,0,0,0,0,0,0,0,0,0,0,68,7444,34,3627,34,3817
106 - 106.999,0,0,0,0,0,0,0,0,0,0,0,0,67,7377,45,3582,22,3795
107 - 107.999,0,0,0,0,0,0,0,0,0,0,0,0,56,7321,19,3563,37,3758
108 - 108.999,0,0,0,0,0,0,0,0,0,0,0,0,69,7252,30,3533,39,3719
109 - 109.999,0,0,0,0,0,0,0,0,0,0,0,0,76,7176,42,3491,34,3685
110 - 110.999,0,0,0,0,0,0,0,0,0,0,0,0,87,7089,42,3449,45,3640
111 - 111.999,0,0,0,0,0,0,0,0,0,0,0,0,83,7006,38,3411,45,3595
112 - 112.999,0,0,0,0,0,0,0,0,0,0,0,0,67,6939,36,3375,31,3564
113 - 113.999,0,0,0,0,0,0,0,0,0,0,0,0,72,6867,33,3342,39,3525
114 - 114.999,0,0,0,0,0,0,0,0,0,0,0,0,62,6805,24,3318,38,3487
115 - 115.999,0,0,0,0,0,0,0,0,0,0,0,0,77,6728,37,3281,40,3447
116 - 116.999,0,0,0,0,0,0,0,0,0,0,0,0,69,6659,43,3238,26,3421
117 - 117.999,0,0,0,0,0,0,0,0,0,0,0,0,72,6587,40,3198,32,3389
118 - 118.999,0,0,0,0,0,0,0,0,0,0,0,0,80,6507,46,3152,34,3355
119 - 119.999,0,0,0,0,0,0,0,0,0,0,0,0,62,6445,33,3119,29,3326
120 - 120.999,0,0,0,0,0,0,0,0,0,0,0,0,72,6373,45,3074,27,3299
121 - 121.999,0,0,0,0,0,0,0,0,0,0,0,0,93,6280,42,3032,51,3248
122 - 122.999,0,0,0,0,0,0,0,0,0,0,0,0,70,6210,34,2998,36,3212
123 - 123.999,0,0,0,0,0,0,0,0,0,0,0,0,89,6121,40,2958,49,3163
124 - 124.999,0,0,0,0,0,0,0,0,0,0,0,0,71,6050,32,2926,39,3124
125 - 125.999,0,0,0,0,0,0,0,0,0,0,0,0,70,5980,35,2891,35,3089
126 - 126.999,0,0,0,0,0,0,0,0,0,0,0,0,82,5898,40,2851,42,3047
127 - 127.999,0,0,0,0,0,0,0,0,0,0,0,0,88,5810,44,2807,44,3003
128 - 128.999,0,0,0,0,0,0,0,0,0,0,0,0,76,5734,32,2775,44,2959
129 - 129.999,0,0,0,0,0,0,0,0,0,0,0,0,80,5654,38,2737,42,2917
130 - 130.999,0,0,0,0,0,0,0,0,0,0,0,0,71,5583,28,2709,43,2874
131 - 131.999,0,0,0,0,0,0,0,0,0,0,0,0,97,5486,50,2659,47,2827
132 - 132.999,0,0,0,0,0,0,0,0,0,0,0,0,84,5402,37,2622,47,2780
133 - 133.999,0,0,0,0,0,0,0,0,0,0,0,0,69,5333,39,2583,30,2750
134 - 134.999,0,0,0,0,0,0,0,0,0,0,0,0,75,5258,36,2547,39,2711
135 - 135.999,0,0,0,0,0,0,0,0,0,0,0,0,89,5169,48,2499,41,2670
136 - 136.999,0,0,0,0,0,0,0,0,0,0,0,0,77,5092,37,2462,40,2630
137 - 137.999,0,0,0,0,0,0,0,0,0,0,0,0,85,5007,36,2426,49,2581
138 - 138.999,0,0,0,0,0,0,0,0,0,0,0,0,74,4933,31,2395,43,2538
139 - 139.999,0,0,0,0,0,0,0,0,0,0,0,0,76,4857,44,2351,32,2506
140 - 140.999,0,0,0,0,0,0,0,0,0,0,0,0,70,4787,27,2324,43,2463
141 - 141.999,0,0,0,0,0,0,0,0,0,0,0,0,71,4716,35,2289,36,2427
142 - 142.999,0,0,0,0,0,0,0,0,0,0,0,0,73,4643,39,2250,34,2393
143 - 143.999,0,0,0,0,0,0,0,0,0,0,0,0,83,4560,38,2212,45,2348
144 - 144.999,0,0,0,0,0,0,0,0,0,0,0,0,82,4478,49,2163,33,2315
145 - 145.999,0,0,0,0,0,0,0,0,0,0,0,0,63,4415,28,2135,35,2280
146 - 146.999,0,0,0,0,0,0,0,0,0,0,0,0,72,4343,39,2096,33,2247
147 - 147.999,0,0,0,0,0,0,0,0,0,0,0,0,88,4255,46,2050,42,2205
148 - 148.999,0,0,0,0,0,0,0,0,0,0,0,0,80,4175,38,2012,42,2163
149 - 149.999,0,0,0,0,0,0,0,0,0,0,0,0,101,4074,43,1969,58,2105
150 - 150.999,0,0,0,0,0,0,0,0,0,0,0,0,98,3976,50,1919,48,2057
151 - 151.999,0,0,0,0,0,0,0,0,0,0,0,0,68,3908,38,1881,30,2027
